Ground truth,w/o FEM,w/ FEM
0.009443154,-0.062707326,0.011433131
0.010245737,-0.05622177,0.013508654
0.011107138,-0.043214353,0.015859525
0.012030788,-0.046837044,0.017326317
0.013020236,-0.041961787,0.02064706
0.014079153,-0.059940654,0.022092878
0.015211326,-0.05820924,0.024191874
0.016420657,-0.045433408,0.026445677
0.017711154,-0.033244721,0.028798887
0.019086931,-0.035154666,0.031129071
0.020552195,-0.026715554,0.032568392
0.022111247,-0.03627883,0.034848337
0.023768465,-0.035055481,0.035799429
0.025528302,-0.015917753,0.038450581
0.027395271,-0.012219312,0.040454353
0.029373938,-0.015230872,0.043197574
0.031468906,-0.017232881,0.04582102
0.033684802,-0.010583813,0.04813377
0.036026265,-0.009553944,0.051130304
0.038497929,-0.008345024,0.052791396
0.041104408,-0.010029269,0.054702355
0.043850274,-0.002840544,0.059489407
0.046740044,0.008669876,0.064317906
0.049778157,0.034689587,0.068815802
0.052968954,0.049037926,0.075249964
0.056316658,0.048419727,0.078054639
0.059825349,0.051048334,0.082318724
0.063498944,0.049762491,0.08753765
0.067341169,0.059996947,0.092868833
0.071355539,0.068326456,0.097561642
0.07554533,0.067203655,0.10190409
0.079913554,0.08106777,0.106523041
0.084462933,0.093266926,0.111567268
0.089195874,0.078549458,0.115171514
0.094114439,0.084356571,0.12053036
0.099220325,0.093290434,0.126010211
0.104514831,0.089146075,0.132238779
0.109998837,0.105074518,0.138266495
0.115672775,0.123859046,0.143475478
0.121536607,0.135139234,0.150294337
0.127589798,0.142859324,0.156273402
0.133831297,0.143333662,0.163147456
0.140259508,0.147813489,0.168053336
0.146872278,0.159802298,0.174055881
0.153666869,0.165787536,0.180599289
0.160639945,0.177322643,0.187577338
0.167787554,0.18705001,0.193941448
0.175105115,0.187600189,0.200797982
0.182587404,0.197312127,0.207719914
0.190228545,0.205262022,0.214652873
0.198022006,0.210925431,0.221656017
0.205960585,0.231362055,0.22876228
0.214036416,0.24121843,0.237469558
0.222240968,0.236768755,0.245754216
0.230565043,0.242684879,0.253400032
0.238998789,0.250769033,0.261002761
0.247531705,0.254977873,0.268085532
0.256152655,0.255451552,0.275804025
0.264849883,0.257788411,0.281239745
0.273611033,0.269906334,0.288922852
0.28242317,0.288850366,0.297939877
0.291272804,0.290594794,0.304683101
0.300145924,0.296316449,0.311147987
0.309028021,0.303626024,0.318463384
0.317904131,0.305982137,0.324388398
0.326758867,0.32009099,0.331097828
0.335576463,0.327471726,0.337292381
0.344340817,0.337804319,0.343825014
0.353035535,0.351384709,0.350397683
0.361643981,0.353712524,0.356173046
0.370149329,0.363635926,0.364784118
0.378534613,0.370815479,0.370719006
0.386782785,0.383183225,0.378251405
0.394876769,0.399635026,0.386147899
0.402799519,0.419210987,0.3909889
0.41053408,0.426884882,0.396870544
0.418063644,0.449633367,0.404615482
0.425371615,0.463698701,0.411214735
0.432441663,0.471351377,0.41701844
0.439257792,0.476193316,0.421035942
0.445804394,0.485226804,0.427193777
0.45206631,0.485276833,0.432362782
0.458028891,0.488627645,0.438677094
0.463678051,0.494499713,0.443667849
0.469000324,0.502725066,0.447795412
0.47398292,0.510966766,0.450822509
0.47861377,0.509331724,0.45320204
0.482881584,0.520285211,0.455178153
0.486775886,0.516254392,0.458459775
0.490287066,0.522331863,0.460167195
0.493406415,0.510423173,0.461613639
0.496126162,0.511549477,0.463020525
0.498439508,0.509753207,0.464848877
0.500340651,0.520563691,0.465077592
0.501824813,0.52532875,0.467236743
0.502888261,0.542309512,0.466498673
0.503528319,0.548044383,0.466517734
0.503743384,0.555667075,0.465794994
0.503532928,0.566708941,0.465153773
0.502897506,0.569454098,0.46514462
0.501838749,0.565081873,0.462598729
0.500359358,0.55567423,0.461202392
0.498463094,0.540914542,0.45887627
0.496154765,0.536025883,0.455148719
0.4934402,0.536324463,0.453050346
0.490326227,0.536651633,0.450617655
0.486820648,0.530890963,0.447025555
0.482932202,0.526273498,0.442602029
0.478670533,0.523260932,0.438400345
0.474046147,0.518914923,0.435454609
0.469070371,0.515721012,0.430076062
0.463755308,0.513573704,0.425532673
0.458113787,0.487527711,0.419101935
0.452159313,0.479739586,0.412614984
0.445906011,0.466853916,0.410045789
0.439368575,0.4562763,0.403487068
0.432562207,0.451595068,0.396535247
0.425502563,0.440568516,0.389837052
0.418205689,0.441214032,0.383805137
0.410687966,0.430241911,0.379411088
0.402966046,0.414753302,0.370775024
0.395056792,0.424060934,0.362181205
0.386977223,0.417391276,0.355210767
0.378744446,0.407398773,0.347097439
0.370375605,0.404096341,0.338654892
0.361887819,0.411689325,0.332094456
0.353298127,0.397225497,0.325823704
0.344623435,0.390375974,0.319476971
0.335880461,0.378456293,0.311324651
0.327085683,0.36656302,0.303362222
0.318255297,0.362451907,0.295992469
0.309405164,0.352245073,0.289959306
0.30055077,0.347686096,0.281732609
0.291707187,0.335748684,0.272926553
0.282889033,0.323630068,0.263953774
0.274110437,0.298827494,0.257703422
0.26538501,0.29083075,0.249572497
0.256725817,0.282092446,0.240456354
0.248145347,0.273409912,0.232740668
0.239655497,0.25222966,0.224033108
0.231267551,0.24766338,0.217859685
0.222992164,0.24069196,0.208825088
0.214839352,0.238379188,0.203428562
0.206818478,0.224996671,0.195385878
0.198938253,0.216050108,0.187699011
0.191206727,0.197503729,0.181759428
0.183631293,0.203002287,0.172389288
0.176218686,0.206490843,0.166117535
0.168974991,0.192818495,0.160908953
0.16190565,0.189608158,0.154578777
0.155015473,0.192624363,0.147829237
0.148308648,0.182561301,0.141895798
0.141788757,0.188359488,0.136184524
0.135458795,0.176200772,0.130424746
0.129321182,0.159770871,0.123026089
0.123377788,0.151422343,0.118404214
0.117629955,0.13507215,0.111733954
0.112078512,0.128163524,0.106125718
0.106723808,0.123291267,0.101602937
0.101565728,0.111388473,0.095397247
0.096603724,0.10973045,0.091973948
0.091836839,0.100722035,0.088134265
0.08726373,0.093450686,0.082524359
0.082882698,0.086362651,0.078750814
0.078691715,0.068305022,0.074935986
0.074688447,0.050767404,0.07096631
0.070870283,0.060163829,0.06741902
0.067234359,0.053383088,0.063196674
0.063777585,0.061218436,0.059354829
0.060496672,0.058956747,0.05663839
0.057388152,0.063466077,0.053987593
0.054448405,0.049565579,0.049781322
0.051673682,0.035708093,0.046081308
0.049060127,0.035115238,0.043647162
0.046603796,0.047155888,0.040599854
0.044300684,0.047965589,0.037454635
0.042146736,0.047117221,0.035638181
0.04013787,0.046631285,0.03477316
0.038269996,0.046203011,0.035140027
0.036539029,0.055033619,0.034033743
0.034940903,0.042008918,0.03181967
0.033471592,0.046398809,0.032445053
0.032127115,0.034663634,0.030969761
0.030903552,0.037720094,0.032711242
0.029797054,0.032312826,0.033064083
0.028803853,0.040953558,0.02974619
0.02792027,0.032150893,0.031242977
0.027142724,0.024468867,0.030839314
0.026467737,0.028468922,0.030098387
0.025891942,0.021443691,0.029152648
0.025412082,0.005781853,0.028834846
0.025025024,0.003745532,0.028983679
0.024727751,-0.001747919,0.029390462
0.024517372,0.009571832,0.029948626
0.024391121,0.017491938,0.029865725
0.024346357,0.025206649,0.029214164
0.024380565,0.020662517,0.030797871
0.024491353,0.025047196,0.032962224
0.024676457,0.008160365,0.033627818
0.024933732,0.014036624,0.03477604
0.025261154,0.014466759,0.034360598
0.025656818,0.015158318,0.036927542
0.026118931,0.017316917,0.037609209
0.026645814,0.027442301,0.03926941
0.027235892,0.041387352,0.040465367
0.027887697,0.047233573,0.040526536
0.028599857,0.045401071,0.041647388
0.029371096,0.046611433,0.043098493
0.030200228,0.039341087,0.045482306
0.031086152,0.036030341,0.046824413
0.032027846,0.036345535,0.048759598
0.033024366,0.043208769,0.050650591
0.034074833,0.051226239,0.051740773
0.035178439,0.036106541,0.053816325
0.03633443,0.025931683,0.05414688
0.037542109,0.03400145,0.054761712
0.03880083,0.039582071,0.057035244
0.040109988,0.038753454,0.057988984
0.041469019,0.040766682,0.058567884
0.042877392,0.040098698,0.060412171
0.044334607,0.045211848,0.062854953
0.045840187,0.042167802,0.063785455
0.047393676,0.067164603,0.063993172
0.048994632,0.06559628,0.065050925
0.050642626,0.065612679,0.065644208
0.052337232,0.07002625,0.069602814
0.054078031,0.074615522,0.073787459
0.0558646,0.078436628,0.07622958
