Ground truth,w/o FEM,w/ FEM
0.076054111,-0.058136904,0.139028355
0.079381151,-0.076664711,0.14244251
0.082840715,-0.050698295,0.146772281
0.086436615,-0.017755007,0.148338584
0.090172667,0.000445078,0.154802299
0.094052681,-0.062930259,0.156171243
0.098080458,-0.052845573,0.159523655
0.102259778,-0.029407482,0.162995637
0.106594393,0.001157747,0.16675152
0.111088014,0.011679443,0.170498155
0.115744306,0.038978409,0.171771337
0.120566879,0.010429759,0.17515315
0.125559269,0.025017426,0.174724835
0.130724939,0.051374203,0.179517003
0.136067258,0.055670428,0.182326434
0.141589496,0.0557732,0.186975864
0.14729481,0.051282442,0.191432299
0.153186231,0.04682662,0.19487816
0.159266654,0.031323152,0.200126547
0.165538824,0.04353711,0.201629594
0.172005326,0.058255084,0.203848177
0.178668568,0.068474904,0.211518231
0.185530771,0.075918925,0.219563202
0.192593956,0.141256016,0.22612968
0.199859929,0.188152868,0.23836299
0.20733027,0.192375172,0.240152409
0.215006319,0.190688206,0.246045568
0.222889163,0.167176562,0.254088304
0.230979623,0.196362695,0.262469476
0.239278241,0.233169087,0.268692787
0.247785267,0.234849968,0.274057746
0.256500648,0.24368429,0.279785321
0.265424015,0.236691087,0.287443005
0.274554669,0.181990221,0.290959642
0.283891574,0.20678706,0.298978669
0.293433343,0.240219917,0.307101103
0.303178228,0.240702852,0.316959387
0.313124108,0.250470437,0.326429717
0.323268486,0.27087929,0.33378504
0.333608471,0.292949134,0.345258451
0.344140777,0.321882832,0.353720892
0.354861712,0.326965382,0.364446158
0.365767174,0.306378518,0.369108803
0.376852641,0.302324592,0.377295681
0.38811317,0.334858069,0.387371422
0.399543392,0.374136164,0.398049109
0.411137507,0.368752835,0.406166671
0.422889283,0.355608008,0.415384045
0.434792057,0.363476164,0.424768026
0.44683873,0.37255734,0.435036998
0.459021774,0.390815977,0.444999063
0.47133323,0.444437213,0.455530444
0.483764712,0.450160809,0.470716544
0.496307413,0.439496751,0.484445782
0.50895211,0.449241955,0.496866736
0.521689171,0.460296206,0.509042207
0.534508561,0.464117597,0.519622383
0.547399858,0.497292684,0.531972773
0.560352254,0.532578803,0.538590135
0.573354577,0.54602312,0.551466707
0.586395296,0.555067583,0.568103166
0.599462542,0.528799472,0.578083648
0.612544118,0.550186804,0.587143317
0.625627519,0.595549599,0.59885607
0.638699952,0.62048287,0.606032675
0.651748351,0.646792513,0.615749675
0.664759398,0.644033751,0.624966055
0.677719549,0.660350063,0.635378864
0.690615052,0.676282618,0.645797488
0.703431971,0.650260133,0.654089969
0.716156214,0.646820708,0.670364572
0.728773554,0.659015719,0.680060237
0.741269658,0.721258249,0.694089967
0.753630114,0.785269331,0.709416148
0.765840459,0.8266329,0.716912629
0.777886206,0.805222639,0.727887317
0.789752874,0.841453478,0.745140582
0.801426019,0.864909415,0.758917024
0.812891263,0.879403157,0.770258216
0.824134324,0.901363487,0.77722185
0.835141047,0.929057954,0.791280387
0.845897436,0.935767199,0.803318902
0.856389686,0.968901887,0.819934258
0.866604211,0.983714838,0.832766508
0.876527676,0.97814789,0.843016165
0.886147031,0.997247109,0.850708135
0.89544954,1.019730959,0.858408044
0.90442281,1.062089263,0.865751404
0.913054823,1.060386272,0.876609748
0.921333964,1.067075721,0.882387577
0.929249053,1.036731093,0.889450877
0.93678937,1.051757637,0.896257299
0.943944688,1.053177015,0.904524512
0.950705291,1.081250618,0.908481819
0.95706201,1.084484878,0.918252221
0.963006242,1.138640387,0.921037464
0.968529977,1.155318149,0.926259916
0.97362582,1.14741843,0.929883139
0.978287012,1.139477468,0.93385058
0.982507454,1.145870907,0.939823574
0.986281724,1.171644673,0.938896174
0.989605095,1.188863553,0.942384104
0.992473556,1.165526956,0.944263007
0.994883822,1.121833341,0.942649239
0.996833353,1.095453844,0.94784516
0.998320364,1.105425217,0.95247215
0.999343838,1.137566403,0.953739724
0.999903535,1.153359156,0.952708485
1,1.165153325,0.952893896
0.999634572,1.173993107,0.956962947
0.998809388,1.174069285,0.955296643
0.997527386,1.177003355,0.956105962
0.995792308,1.12282279,0.951951684
0.993608701,1.096057706,0.948594833
0.990981916,1.087113787,0.956102627
0.987918107,1.108302065,0.952462523
0.984424222,1.101821107,0.947512279
0.980508005,1.108814185,0.943277495
0.976177983,1.140133232,0.941615139
0.971443461,1.119195228,0.944598126
0.966314507,1.074780424,0.935161666
0.960801946,1.11836306,0.92608223
0.954917345,1.136261056,0.921444986
0.948672997,1.14711517,0.913726355
0.942081903,1.14251506,0.904883164
0.935157759,1.161200106,0.901525355
0.927914932,1.141038634,0.898239998
0.920368443,1.133439098,0.894807832
0.91253394,1.116881604,0.886817976
0.904427678,1.107401253,0.87981623
0.896066491,1.097193964,0.87309682
0.887467765,1.05225779,0.870778129
0.87864941,1.045275839,0.862253788
0.869629828,1.03761648,0.851611993
0.860427882,1.031674951,0.840460755
0.851062863,0.961713596,0.83665882
0.841554452,0.973529686,0.827624981
0.831922685,0.975375245,0.816606066
0.822187913,0.964364773,0.808860519
0.812370762,0.929309861,0.797749731
0.802492091,0.907102204,0.794396261
0.792572947,0.894080432,0.782432728
0.782634519,0.905347802,0.780081341
0.772698094,0.894349814,0.770624243
0.762785001,0.903564513,0.760431128
0.752916568,0.870265663,0.754344066
0.743114064,0.856810873,0.738338179
0.733398649,0.869079348,0.732077166
0.723791313,0.842402011,0.728922941
0.714312827,0.832074124,0.722278693
0.704983675,0.842896849,0.713548803
0.695824005,0.819358848,0.706192814
0.686853558,0.827990784,0.699480988
0.678091614,0.832529054,0.691871007
0.669556927,0.80678439,0.679355877
0.661267661,0.788529144,0.674858064
0.653241326,0.76021054,0.663377147
0.645494717,0.727484937,0.655456322
0.638043847,0.690644864,0.650417816
0.630903887,0.664713291,0.640697272
0.6240891,0.677834174,0.6391945
0.61761278,0.652181318,0.636267824
0.611487191,0.629950055,0.626767933
0.605723509,0.616897794,0.622211402
0.600331761,0.604098335,0.617923182
0.595320774,0.581415067,0.613483953
0.590698118,0.595097495,0.609866137
0.58647006,0.565517962,0.604132196
0.582641515,0.563796924,0.599342584
0.579216003,0.568403701,0.597437464
0.576195612,0.595735318,0.595732228
0.573580964,0.583143476,0.589163409
0.571371184,0.563606726,0.584355326
0.569563875,0.557942371,0.583512953
0.568155103,0.593399318,0.580461057
0.567139383,0.611391861,0.577163885
0.566509671,0.598025073,0.577974137
0.566257367,0.604933864,0.580259031
0.566372321,0.641989419,0.585901865
0.566842846,0.660726636,0.588193529
0.567655739,0.631719173,0.586322399
0.568796315,0.647627613,0.5920093
0.570248434,0.628426834,0.592169969
0.571994554,0.640566359,0.600310516
0.574015775,0.625476365,0.604316063
0.576291903,0.649948519,0.598808351
0.578801513,0.6349982,0.606396924
0.581522023,0.601301735,0.607537504
0.584429776,0.594628659,0.60718531
0.587500126,0.587133732,0.606476848
0.59070753,0.564537246,0.607878653
0.594025654,0.577219423,0.610603098
0.597427471,0.558127721,0.613335411
0.600885376,0.552263193,0.616157915
0.604371303,0.542644703,0.617421701
0.60785684,0.564571787,0.616127936
0.611313357,0.557968695,0.62154331
0.614712127,0.577118016,0.627323942
0.61802446,0.567870644,0.628270076
0.621221825,0.583880308,0.630369556
0.624275989,0.585380899,0.628167747
0.627159138,0.605002734,0.633925769
0.629844013,0.595402758,0.635171338
