Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5
0.005281062,0,0.275038005,0.00883983,0.004943925
0.015856319,0.010658207,0.192005524,0.017891025,0.012785773
0,0,0.095270201,0,0
0.013942094,0.009586015,0.067641932,0.006234457,0.005630037
0.006976384,0.001889637,0.039236051,0.000778529,0.003476916
0.006412405,0.009701585,0.028452191,0.003745274,0.008218691
0,0.000258296,0.011916466,0,0.000539426
0,0,0.009081214,0,0
0,0,0.000505535,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0.003954729,0,0,0
0,0,0,0,0
0,0.006443545,0,0,0
0,0,0,0,0
0.007628944,0.008797875,0.007736224,0.006799424,0.005025694
0.003626236,0.006656518,0.005560801,0.004346391,0
0.009794639,0.003388307,0.00786473,0.00724474,0
0,0,0,0,0
0,0,0,0,0
0.003441029,0.001483978,0.001934379,0.001614442,0
0.007452054,0.001765281,0.005418789,0.00797368,0
0.002002279,0,0.00225025,0.003065478,0
0,0,0,0,0
0.008621305,0.004762029,0.003482239,0.005763361,0.000681148
0.01757971,0.009016551,0.005321839,0.006467913,0.006092307
0.000719457,0,0,0.004797311,0.007997157
0,0,0,0,0.002663136
0.009459556,0.005045748,0.001659737,0.009682149,0.012945599
0,0,0,0.000253656,0.003173629
0,0,0.003183041,0,0.005759727
0,0,0.000117208,0.000338621,0.001622925
0,0.000816338,0,0,0
0,0,0.005029709,0,0.007016315
0,0,0,0,0
0.014050619,0.019925166,0.018718917,0.011731529,0.013432215
0.00240402,0,0,0,0
0.006285241,0.00794668,0.00672554,0.006391637,0.002327519
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0.002339843,0.002333705,0,0
0,0,0,0,0
0,0,0.000784712,0,0
0,0.000243368,0,0.002891493,0.002039376
0,0,0,0,0
0,0,0,0,0
0.003108249,0,0,0.008855736,0
0,0,0,0.012357894,0
0.006829564,0,0,0.020111745,0.000377473
0.010331741,0.003759068,0,0.040451533,0.000462533
0.004841003,0,0,0.061896884,0
0,0,0,0.104089673,0
0.00114086,0.00629263,0.009629693,0.181184354,0.003181994
0,0.000461754,0.002058183,0.26514169,0.00081568
0.001077136,0.006988802,0.013628803,0.393650286,0.003613194
0,0.001269808,0.003746977,0.509854292,0
0,0.004967495,0.008773783,0.647955893,0.005739463
0.005260236,0.007257488,0.004915812,0.774532528,0
0.016284465,0.012705059,0.007218094,0.88612725,0.00748174
0,0,0,0.934819564,0
0,0,0,0.951692667,0
0,0.003147919,0,0.93508817,0
0,0,0,0.86140761,0
0,0.003206641,0,0.767981563,0
0,0,0,0.637840718,0
0,0,0,0.496639869,0
0.000917096,0,0,0.377511169,0
0,0,0.001762925,0.263610614,0
0.002264482,0,0,0.171249229,0.000753585
0,0,0,0.112159548,0
0.015463099,0.010936982,0.014839379,0.077359351,0.011057108
0,0,5.10E-06,0.032427343,0
0.002161671,0,0.001868248,0.019412715,0
0.005417285,0.011857937,0.010668415,0.018017806,0.008264466
0.001762545,0.00110272,0.001414244,0.008003796,0
0.001228918,0,0,0.000368815,0
0,0,0,0,0
0,0,0,0,0.004279075
0.003562117,0,0,0,0.007182489
0,0,0,0,0
0.00054652,0,0,0,0
0.014170247,0.010515293,0.006325387,0.007689314,0.007941148
0.009369446,0.013359624,0.005366704,0.012613402,0.004538627
0,0.000208719,0,0,0
0,0.00221894,0.003966075,0.007535906,0
0,0.000398398,0,0,0
0,0.003289749,0.001652911,0,0
0.003984121,0.009282845,0.005407668,0.003158211,0.006605966
0.015161206,0.01518165,0.007038215,0.013406921,0.016378092
0,0.003817671,0.008049758,0.004228887,0.001909929
0.006657524,0.00597804,0.010125682,0.007520067,0.009556325
0.005361639,0,0.004313994,0.007309304,0.00247229
0.007837757,0.00097736,0.007993649,0.014260602,0.006541644
0,0,0,0,0
0,0,0,0.003378757,0.003136269
0.006855792,0.00618211,0.008379835,0.008100521,0.012083671
0,0.000830427,0,0,0.00385439
0.000942041,0.010796821,0.005036134,0.001390921,0.007906446
0.001668878,0.003849137,0.001331956,0,0.002319097
0.008668226,0.003889812,0.005777972,0.001711796,0.000149008
0,0,0.000691542,0,0
0.011934364,0.002735271,0.004769552,0.007768456,0.001280615
0,0,0,0,0
0.008146664,0.004325043,0.009540152,0.005743795,0.008548385
0,0,0,0,0
0.004016026,0,0,0,0.008423556
0.005830686,0.006507328,0.006220556,0.004513693,0.022794002
0.001494922,0.005019842,0,0,0.016515968
0,0,0,0,0.022303138
0,0.003103755,0,0,0.035540576
0,0.006905283,0.002109178,0.003568445,0.061216205
0.003832512,0.005802725,0.005227576,0.002525687,0.111884715
0.003439586,0.004090473,0.000577414,0.003621239,0.179259451
0.001957405,0.00214831,0.007004239,0.008271324,0.265111841
0,0,0,0,0.375976552
0,0,0,0,0.499710789
0.000744246,0,0.002259512,0.002898154,0.65057936
0,0,0,0,0.770963662
0,0,0,0,0.865337469
0.008387019,0,0.000556538,0,0.942514431
0.006285043,0.002501067,0.006812396,0,0.962379114
0.006697333,0.001527114,0,0,0.932546243
0.001966423,0.00283243,0.006323976,0,0.863101521
0,0,0,0,0.756375568
0,0,0.001236509,0,0.64059987
0.005795262,0.002350784,0.011816754,0.004006312,0.52368862
0,0,0.007522677,0,0.383373052
0.001940028,0.000552409,0.004691329,0.002571217,0.273416828
0,0,0,0,0.163303967
0,0,0,0,0.108102508
0,0,0,0,0.059240969
0.013868795,0.009902638,0.007240504,0.010777921,0.055252252
0.007474203,0.003080197,0.003664007,0.009377521,0.033715225
0.003953524,0.00447178,0.004124285,0.003420583,0.020129611
0,7.54E-05,0,0.000301473,0.00924958
0,0,0,0,0
0,0,0,0,0
0.001541381,0.0111615,0.003542484,0.008752261,0.003965798
0,0,0,0.002752107,0
0,0,0,0,0
0.003536615,0.011607647,0.009176942,0.007593122,4.70E-05
